name,height_in,weight_lbs,reach_in
Khalid Taha,65,135,69
Khalil Rountree Jr.,73,145,76
Kiichi Kunimoto,70,135,71
Klidson Abreu,72,230,74
Konstantin Erokhin,71,220,73
Kris McCray,72,185,76
Kron Gracie,69,168,70
Krzysztof Jotko,73,155,77
Krzysztof Soszynski,73,155,77
Kuniyoshi Hironaka,70,145,70
Kurt Holobaugh,71,185,70
Kurt Pellegrino,68,155,70
Kwan Ho Kwak,65,185,70
Kyle Bochniak,67,135,70
Kyle Bradley,69,205,71
Kyle Daukaus,75,155,76
Kyle Kingsbury,76,170,76
Kyle Nelson,71,225,71
Kyle Noke,73,155,76
Kyle Prepolec,70,135,70
Kyle Stewart,74,125,76
Kyoji Horiguchi,65,125,66
Kyung Ho Kang,69,185,73
LC Davis,68,145,69
Lance Benoist,71,185,73
Lando Vannata,69,205,71
Larissa Pacheco,67,125,69
Laureano Staropoli,73,170,71
Lauren Mueller,65,145,67
Lauren Murphy,67,145,67
Lavar Johnson,76,135,82
Lazar Stojadinovic,67,205,68
Leah Letson,67,155,71
Leandro Issa,67,286,69
Leandro Silva,69,185,72
Leo Kuntz,70,145,74
Leon Edwards,72,155,74
Leon Shahbazyan,76,135,77
Leonard Garcia,70,155,69
Leonardo Augusto Leleco,72,185,73
Leonardo Mafra,70,135,70
Leonardo Morales,68,145,68
Leonardo Santos,72,170,75
Leslie Smith,69,170,66
Levan Makashvili,68,205,68
Lewis Gonzalez,70,135,73
Li Jingliang,72,135,71
Lina Lansberg,67,135,65
Lisa Ellis,64,125,62
Liu Pingyuan,66,185,72
Livinha Souza,65,185,63
Liz Carmouche,66,170,66
Lorenz Larkin,71,135,72
Louis Gaudinot,63,160,63
Louis Smolka,69,125,68
Louis Taylor,71,205,74
Luan Chagas,72,145,75
Luana Carolina,66,161,69
Lucas Martins,72,170,72
Lucie Pudilova,68,145,67
Luigi Fioravanti,68,155,70
Luis Gomez,67,170,68
Luis Henrique,74,154,74
Luis Pena,75,185,75
Luiz Cane,74,185,77
Luiz Dutra,71,155,71
